strain	replicate	age.at.death	rupture	
strain	replicate	age.at.death	rupture	
1	N2.EV(RNAi)	1	12	0
1	N2.EV(RNAi)	1	12	0
2	N2.EV(RNAi)	1	12	0
2	N2.EV(RNAi)	1	12	0
3	N2.EV(RNAi)	1	12	0
3	N2.EV(RNAi)	1	12	0
4	N2.EV(RNAi)	1	12	0
4	N2.EV(RNAi)	1	12	0
5	N2.EV(RNAi)	1	12	0
5	N2.EV(RNAi)	1	12	0
6	N2.EV(RNAi)	1	12	0
6	N2.EV(RNAi)	1	12	0
7	N2.EV(RNAi)	1	12	0
7	N2.EV(RNAi)	1	12	0
8	N2.EV(RNAi)	1	12	0
8	N2.EV(RNAi)	1	12	0
9	N2.EV(RNAi)	1	12	0
9	N2.EV(RNAi)	1	12	0
10	N2.EV(RNAi)	1	12	0
10	N2.EV(RNAi)	1	12	0
11	N2.EV(RNAi)	1	12	0
11	N2.EV(RNAi)	1	12	0
12	N2.EV(RNAi)	1	15	0
12	N2.EV(RNAi)	1	15	0
13	N2.EV(RNAi)	1	15	0
13	N2.EV(RNAi)	1	15	0
14	N2.EV(RNAi)	1	15	0
14	N2.EV(RNAi)	1	15	0
15	N2.EV(RNAi)	1	15	0
15	N2.EV(RNAi)	1	15	0
16	N2.EV(RNAi)	1	15	0
16	N2.EV(RNAi)	1	15	0
17	N2.EV(RNAi)	1	15	0
17	N2.EV(RNAi)	1	15	0
18	N2.EV(RNAi)	1	15	0
18	N2.EV(RNAi)	1	15	0
19	N2.EV(RNAi)	1	15	0
19	N2.EV(RNAi)	1	15	0
20	N2.EV(RNAi)	1	15	0
20	N2.EV(RNAi)	1	15	0
21	N2.EV(RNAi)	1	15	0
21	N2.EV(RNAi)	1	15	0
22	N2.EV(RNAi)	1	15	0
22	N2.EV(RNAi)	1	15	0
23	N2.EV(RNAi)	1	15	0
23	N2.EV(RNAi)	1	15	0
24	N2.EV(RNAi)	1	15	0
24	N2.EV(RNAi)	1	15	0
25	N2.EV(RNAi)	1	15	0
25	N2.EV(RNAi)	1	15	0
26	N2.EV(RNAi)	1	15	0
26	N2.EV(RNAi)	1	15	0
27	N2.EV(RNAi)	1	15	0
27	N2.EV(RNAi)	1	15	0
28	N2.EV(RNAi)	1	15	0
28	N2.EV(RNAi)	1	15	0
29	N2.EV(RNAi)	1	15	0
29	N2.EV(RNAi)	1	15	0
30	N2.EV(RNAi)	1	15	0
30	N2.EV(RNAi)	1	15	0
31	N2.EV(RNAi)	1	15	0
31	N2.EV(RNAi)	1	15	0
32	N2.EV(RNAi)	1	15	0
32	N2.EV(RNAi)	1	15	0
33	N2.EV(RNAi)	1	15	0
33	N2.EV(RNAi)	1	15	0
34	N2.EV(RNAi)	1	15	0
34	N2.EV(RNAi)	1	15	0
35	N2.EV(RNAi)	1	15	0
35	N2.EV(RNAi)	1	15	0
36	N2.EV(RNAi)	1	15	0
36	N2.EV(RNAi)	1	15	0
37	N2.EV(RNAi)	1	15	0
37	N2.EV(RNAi)	1	15	0
38	N2.EV(RNAi)	1	15	0
38	N2.EV(RNAi)	1	15	0
39	N2.EV(RNAi)	1	15	0
39	N2.EV(RNAi)	1	15	0
40	N2.EV(RNAi)	1	15	0
40	N2.EV(RNAi)	1	15	0
41	N2.EV(RNAi)	1	15	0
41	N2.EV(RNAi)	1	15	0
42	N2.EV(RNAi)	1	15	0
42	N2.EV(RNAi)	1	15	0
43	N2.EV(RNAi)	1	15	0
43	N2.EV(RNAi)	1	15	0
44	N2.EV(RNAi)	1	15	0
44	N2.EV(RNAi)	1	15	0
45	N2.EV(RNAi)	1	15	0
45	N2.EV(RNAi)	1	15	0
46	N2.EV(RNAi)	1	15	0
46	N2.EV(RNAi)	1	15	0
47	N2.EV(RNAi)	1	15	0
47	N2.EV(RNAi)	1	15	0
48	N2.EV(RNAi)	1	15	0
48	N2.EV(RNAi)	1	15	0
49	N2.EV(RNAi)	1	15	0
49	N2.EV(RNAi)	1	15	0
50	N2.EV(RNAi)	1	15	0
50	N2.EV(RNAi)	1	15	0
51	N2.EV(RNAi)	1	15	0
51	N2.EV(RNAi)	1	15	0
52	N2.EV(RNAi)	1	15	0
52	N2.EV(RNAi)	1	15	0
53	N2.EV(RNAi)	1	15	0
53	N2.EV(RNAi)	1	15	0
54	N2.EV(RNAi)	1	15	0
54	N2.EV(RNAi)	1	15	0
55	N2.EV(RNAi)	1	15	0
55	N2.EV(RNAi)	1	15	0
56	N2.EV(RNAi)	1	17	0
56	N2.EV(RNAi)	1	17	0
57	N2.EV(RNAi)	1	17	0
57	N2.EV(RNAi)	1	17	0
58	N2.EV(RNAi)	1	17	0
58	N2.EV(RNAi)	1	17	0
59	N2.EV(RNAi)	1	17	0
59	N2.EV(RNAi)	1	17	0
60	N2.EV(RNAi)	1	17	0
60	N2.EV(RNAi)	1	17	0
61	N2.EV(RNAi)	1	17	0
61	N2.EV(RNAi)	1	17	0
62	N2.EV(RNAi)	1	17	0
62	N2.EV(RNAi)	1	17	0
63	N2.EV(RNAi)	1	17	0
63	N2.EV(RNAi)	1	17	0
64	N2.EV(RNAi)	1	17	0
64	N2.EV(RNAi)	1	17	0
65	N2.EV(RNAi)	1	17	0
65	N2.EV(RNAi)	1	17	0
66	N2.EV(RNAi)	1	17	0
66	N2.EV(RNAi)	1	17	0
67	N2.EV(RNAi)	1	17	0
67	N2.EV(RNAi)	1	17	0
68	N2.EV(RNAi)	1	17	0
68	N2.EV(RNAi)	1	17	0
69	N2.EV(RNAi)	1	17	0
69	N2.EV(RNAi)	1	17	0
70	N2.EV(RNAi)	1	17	0
70	N2.EV(RNAi)	1	17	0
71	N2.EV(RNAi)	1	17	0
71	N2.EV(RNAi)	1	17	0
72	N2.EV(RNAi)	1	17	0
72	N2.EV(RNAi)	1	17	0
73	N2.EV(RNAi)	1	17	0
73	N2.EV(RNAi)	1	17	0
74	N2.EV(RNAi)	1	17	0
74	N2.EV(RNAi)	1	17	0
75	N2.EV(RNAi)	1	17	0
75	N2.EV(RNAi)	1	17	0
76	N2.EV(RNAi)	1	22	0
76	N2.EV(RNAi)	1	22	0
77	N2.EV(RNAi)	2	12	0
77	N2.EV(RNAi)	2	12	0
78	N2.EV(RNAi)	2	12	0
78	N2.EV(RNAi)	2	12	0
79	N2.EV(RNAi)	2	12	0
79	N2.EV(RNAi)	2	12	0
80	N2.EV(RNAi)	2	12	0
80	N2.EV(RNAi)	2	12	0
81	N2.EV(RNAi)	2	12	0
81	N2.EV(RNAi)	2	12	0
82	N2.EV(RNAi)	2	15	0
82	N2.EV(RNAi)	2	15	0
83	N2.EV(RNAi)	2	15	0
83	N2.EV(RNAi)	2	15	0
84	N2.EV(RNAi)	2	15	0
84	N2.EV(RNAi)	2	15	0
85	N2.EV(RNAi)	2	15	0
85	N2.EV(RNAi)	2	15	0
86	N2.EV(RNAi)	2	15	0
86	N2.EV(RNAi)	2	15	0
87	N2.EV(RNAi)	2	15	0
87	N2.EV(RNAi)	2	15	0
88	N2.EV(RNAi)	2	15	0
88	N2.EV(RNAi)	2	15	0
89	N2.EV(RNAi)	2	15	0
89	N2.EV(RNAi)	2	15	0
90	N2.EV(RNAi)	2	15	0
90	N2.EV(RNAi)	2	15	0
91	N2.EV(RNAi)	2	15	0
91	N2.EV(RNAi)	2	15	0
92	N2.EV(RNAi)	2	15	0
92	N2.EV(RNAi)	2	15	0
93	N2.EV(RNAi)	2	15	0
93	N2.EV(RNAi)	2	15	0
94	N2.EV(RNAi)	2	15	0
94	N2.EV(RNAi)	2	15	0
95	N2.EV(RNAi)	2	15	0
95	N2.EV(RNAi)	2	15	0
96	N2.EV(RNAi)	2	15	0
96	N2.EV(RNAi)	2	15	0
97	N2.EV(RNAi)	2	15	0
97	N2.EV(RNAi)	2	15	0
98	N2.EV(RNAi)	2	17	0
98	N2.EV(RNAi)	2	17	0
99	N2.EV(RNAi)	2	17	0
99	N2.EV(RNAi)	2	17	0
100	N2.EV(RNAi)	2	17	0
100	N2.EV(RNAi)	2	17	0
101	N2.EV(RNAi)	2	17	0
101	N2.EV(RNAi)	2	17	0
102	N2.EV(RNAi)	2	17	0
102	N2.EV(RNAi)	2	17	0
103	N2.EV(RNAi)	2	17	0
103	N2.EV(RNAi)	2	17	0
104	N2.EV(RNAi)	2	17	0
104	N2.EV(RNAi)	2	17	0
105	N2.EV(RNAi)	2	17	0
105	N2.EV(RNAi)	2	17	0
106	N2.EV(RNAi)	2	17	0
106	N2.EV(RNAi)	2	17	0
107	N2.EV(RNAi)	2	17	0
107	N2.EV(RNAi)	2	17	0
108	N2.EV(RNAi)	2	17	0
108	N2.EV(RNAi)	2	17	0
109	N2.EV(RNAi)	2	17	0
109	N2.EV(RNAi)	2	17	0
110	N2.EV(RNAi)	2	17	0
110	N2.EV(RNAi)	2	17	0
111	N2.EV(RNAi)	2	17	0
111	N2.EV(RNAi)	2	17	0
112	N2.EV(RNAi)	2	17	0
112	N2.EV(RNAi)	2	17	0
113	N2.EV(RNAi)	2	17	0
113	N2.EV(RNAi)	2	17	0
114	N2.EV(RNAi)	2	17	0
114	N2.EV(RNAi)	2	17	0
115	N2.EV(RNAi)	2	17	0
115	N2.EV(RNAi)	2	17	0
116	N2.EV(RNAi)	2	17	0
116	N2.EV(RNAi)	2	17	0
117	N2.EV(RNAi)	2	17	0
117	N2.EV(RNAi)	2	17	0
118	N2.EV(RNAi)	2	17	0
118	N2.EV(RNAi)	2	17	0
119	N2.EV(RNAi)	2	17	0
119	N2.EV(RNAi)	2	17	0
120	N2.EV(RNAi)	2	17	0
120	N2.EV(RNAi)	2	17	0
121	N2.EV(RNAi)	2	17	0
121	N2.EV(RNAi)	2	17	0
122	N2.EV(RNAi)	2	17	0
122	N2.EV(RNAi)	2	17	0
123	N2.EV(RNAi)	2	17	0
123	N2.EV(RNAi)	2	17	0
124	N2.EV(RNAi)	2	17	0
124	N2.EV(RNAi)	2	17	0
125	N2.EV(RNAi)	2	20	0
125	N2.EV(RNAi)	2	20	0
126	N2.EV(RNAi)	2	20	0
126	N2.EV(RNAi)	2	20	0
127	N2.EV(RNAi)	2	20	0
127	N2.EV(RNAi)	2	20	0
128	N2.EV(RNAi)	2	20	0
128	N2.EV(RNAi)	2	20	0
129	N2.EV(RNAi)	2	20	0
129	N2.EV(RNAi)	2	20	0
130	N2.EV(RNAi)	2	20	0
130	N2.EV(RNAi)	2	20	0
131	N2.EV(RNAi)	2	20	0
131	N2.EV(RNAi)	2	20	0
132	N2.EV(RNAi)	2	20	0
132	N2.EV(RNAi)	2	20	0
133	N2.EV(RNAi)	2	20	0
133	N2.EV(RNAi)	2	20	0
134	N2.EV(RNAi)	2	20	0
134	N2.EV(RNAi)	2	20	0
135	N2.EV(RNAi)	2	22	0
135	N2.EV(RNAi)	2	22	0
136	N2.EV(RNAi)	2	22	0
136	N2.EV(RNAi)	2	22	0
137	N2.EV(RNAi)	2	22	0
137	N2.EV(RNAi)	2	22	0
138	N2.EV(RNAi)	2	22	0
138	N2.EV(RNAi)	2	22	0
139	N2.EV(RNAi)	2	15	1
139	N2.EV(RNAi)	2	15	1
140	N2.EV(RNAi)	2	12	2
140	N2.EV(RNAi)	2	12	2
141	N2.EV(RNAi)	2	10	3
141	N2.EV(RNAi)	2	10	3
142	N2.ATP-3(RNAi)	1	8	0
142	N2.ATP-3(RNAi)	1	8	0
143	N2.ATP-3(RNAi)	1	10	0
143	N2.ATP-3(RNAi)	1	10	0
144	N2.ATP-3(RNAi)	1	12	0
144	N2.ATP-3(RNAi)	1	12	0
145	N2.ATP-3(RNAi)	1	12	0
145	N2.ATP-3(RNAi)	1	12	0
146	N2.ATP-3(RNAi)	1	12	0
146	N2.ATP-3(RNAi)	1	12	0
147	N2.ATP-3(RNAi)	1	12	0
147	N2.ATP-3(RNAi)	1	12	0
148	N2.ATP-3(RNAi)	1	12	0
148	N2.ATP-3(RNAi)	1	12	0
149	N2.ATP-3(RNAi)	1	12	0
149	N2.ATP-3(RNAi)	1	12	0
150	N2.ATP-3(RNAi)	1	12	0
150	N2.ATP-3(RNAi)	1	12	0
151	N2.ATP-3(RNAi)	1	12	0
151	N2.ATP-3(RNAi)	1	12	0
152	N2.ATP-3(RNAi)	1	15	0
152	N2.ATP-3(RNAi)	1	15	0
153	N2.ATP-3(RNAi)	1	15	0
153	N2.ATP-3(RNAi)	1	15	0
154	N2.ATP-3(RNAi)	1	15	0
154	N2.ATP-3(RNAi)	1	15	0
155	N2.ATP-3(RNAi)	1	15	0
155	N2.ATP-3(RNAi)	1	15	0
156	N2.ATP-3(RNAi)	1	15	0
156	N2.ATP-3(RNAi)	1	15	0
157	N2.ATP-3(RNAi)	1	15	0
157	N2.ATP-3(RNAi)	1	15	0
158	N2.ATP-3(RNAi)	1	15	0
158	N2.ATP-3(RNAi)	1	15	0
159	N2.ATP-3(RNAi)	1	15	0
159	N2.ATP-3(RNAi)	1	15	0
160	N2.ATP-3(RNAi)	1	15	0
160	N2.ATP-3(RNAi)	1	15	0
161	N2.ATP-3(RNAi)	1	15	0
161	N2.ATP-3(RNAi)	1	15	0
162	N2.ATP-3(RNAi)	1	15	0
162	N2.ATP-3(RNAi)	1	15	0
163	N2.ATP-3(RNAi)	1	15	0
163	N2.ATP-3(RNAi)	1	15	0
164	N2.ATP-3(RNAi)	1	15	0
164	N2.ATP-3(RNAi)	1	15	0
165	N2.ATP-3(RNAi)	1	17	0
165	N2.ATP-3(RNAi)	1	17	0
166	N2.ATP-3(RNAi)	1	17	0
166	N2.ATP-3(RNAi)	1	17	0
167	N2.ATP-3(RNAi)	1	17	0
167	N2.ATP-3(RNAi)	1	17	0
168	N2.ATP-3(RNAi)	1	17	0
168	N2.ATP-3(RNAi)	1	17	0
169	N2.ATP-3(RNAi)	1	17	0
169	N2.ATP-3(RNAi)	1	17	0
170	N2.ATP-3(RNAi)	1	17	0
170	N2.ATP-3(RNAi)	1	17	0
171	N2.ATP-3(RNAi)	1	17	0
171	N2.ATP-3(RNAi)	1	17	0
172	N2.ATP-3(RNAi)	1	17	0
172	N2.ATP-3(RNAi)	1	17	0
173	N2.ATP-3(RNAi)	1	17	0
173	N2.ATP-3(RNAi)	1	17	0
174	N2.ATP-3(RNAi)	1	17	0
174	N2.ATP-3(RNAi)	1	17	0
175	N2.ATP-3(RNAi)	1	17	0
175	N2.ATP-3(RNAi)	1	17	0
176	N2.ATP-3(RNAi)	1	17	0
176	N2.ATP-3(RNAi)	1	17	0
177	N2.ATP-3(RNAi)	1	17	0
177	N2.ATP-3(RNAi)	1	17	0
178	N2.ATP-3(RNAi)	1	17	0
178	N2.ATP-3(RNAi)	1	17	0
179	N2.ATP-3(RNAi)	1	17	0
179	N2.ATP-3(RNAi)	1	17	0
180	N2.ATP-3(RNAi)	1	17	0
180	N2.ATP-3(RNAi)	1	17	0
181	N2.ATP-3(RNAi)	1	17	0
181	N2.ATP-3(RNAi)	1	17	0
182	N2.ATP-3(RNAi)	1	17	0
182	N2.ATP-3(RNAi)	1	17	0
183	N2.ATP-3(RNAi)	1	20	0
183	N2.ATP-3(RNAi)	1	20	0
184	N2.ATP-3(RNAi)	1	20	0
184	N2.ATP-3(RNAi)	1	20	0
185	N2.ATP-3(RNAi)	1	20	0
185	N2.ATP-3(RNAi)	1	20	0
186	N2.ATP-3(RNAi)	1	20	0
186	N2.ATP-3(RNAi)	1	20	0
187	N2.ATP-3(RNAi)	1	20	0
187	N2.ATP-3(RNAi)	1	20	0
188	N2.ATP-3(RNAi)	1	20	0
188	N2.ATP-3(RNAi)	1	20	0
189	N2.ATP-3(RNAi)	1	20	0
189	N2.ATP-3(RNAi)	1	20	0
190	N2.ATP-3(RNAi)	1	20	0
190	N2.ATP-3(RNAi)	1	20	0
191	N2.ATP-3(RNAi)	1	20	0
191	N2.ATP-3(RNAi)	1	20	0
192	N2.ATP-3(RNAi)	1	20	0
192	N2.ATP-3(RNAi)	1	20	0
193	N2.ATP-3(RNAi)	1	20	0
193	N2.ATP-3(RNAi)	1	20	0
194	N2.ATP-3(RNAi)	1	20	0
194	N2.ATP-3(RNAi)	1	20	0
195	N2.ATP-3(RNAi)	1	20	0
195	N2.ATP-3(RNAi)	1	20	0
196	N2.ATP-3(RNAi)	1	22	0
196	N2.ATP-3(RNAi)	1	22	0
197	N2.ATP-3(RNAi)	1	24	0
197	N2.ATP-3(RNAi)	1	24	0
198	N2.ATP-3(RNAi)	2	8	0
198	N2.ATP-3(RNAi)	2	8	0
199	N2.ATP-3(RNAi)	2	10	0
199	N2.ATP-3(RNAi)	2	10	0
200	N2.ATP-3(RNAi)	2	10	0
200	N2.ATP-3(RNAi)	2	10	0
201	N2.ATP-3(RNAi)	2	12	0
201	N2.ATP-3(RNAi)	2	12	0
202	N2.ATP-3(RNAi)	2	12	0
202	N2.ATP-3(RNAi)	2	12	0
203	N2.ATP-3(RNAi)	2	12	0
203	N2.ATP-3(RNAi)	2	12	0
204	N2.ATP-3(RNAi)	2	12	0
204	N2.ATP-3(RNAi)	2	12	0
205	N2.ATP-3(RNAi)	2	12	0
205	N2.ATP-3(RNAi)	2	12	0
206	N2.ATP-3(RNAi)	2	12	0
206	N2.ATP-3(RNAi)	2	12	0
207	N2.ATP-3(RNAi)	2	12	0
207	N2.ATP-3(RNAi)	2	12	0
208	N2.ATP-3(RNAi)	2	12	0
208	N2.ATP-3(RNAi)	2	12	0
209	N2.ATP-3(RNAi)	2	12	0
209	N2.ATP-3(RNAi)	2	12	0
210	N2.ATP-3(RNAi)	2	15	0
210	N2.ATP-3(RNAi)	2	15	0
211	N2.ATP-3(RNAi)	2	15	0
211	N2.ATP-3(RNAi)	2	15	0
212	N2.ATP-3(RNAi)	2	15	0
212	N2.ATP-3(RNAi)	2	15	0
213	N2.ATP-3(RNAi)	2	15	0
213	N2.ATP-3(RNAi)	2	15	0
214	N2.ATP-3(RNAi)	2	15	0
